rank,segment_id,lat,lon,n_crashes,obs_ksi,obs_fatal,exp_ksi,exp_fatal,blackspot_score,future_ksi,future_fatal
75,-21_11471,51.52365875,-0.147940203125,128,20,0,15.139784961101025,0.33610171084781804,19.86105539877261,6.0,0.0
76,-46_11965,53.743672576470594,-0.34472094117647056,85,20,1,14.894020679954394,0.7692590735803561,19.85169077132508,2.0,0.0
77,-11_11482,51.574081660714285,-0.0731645625,112,20,1,14.64822072331909,0.9975449182646945,19.84201975917263,3.0,0.0
78,-15_11473,51.53367132307692,-0.10553711282051283,195,19,0,28.096405416706165,0.9785894490921537,19.142000049466315,13.0,0.0
79,-532_12436,55.85956507826087,-4.254847982608696,115,19,0,22.42577452622337,0.7814512141327999,19.06673748664278,6.0,3.0
80,-22_11470,51.52123050993378,-0.15595156291390727,151,19,2,22.018735993988425,1.843026631856734,19.059873534840513,3.0,0.0
81,-20_11468,51.511746798611114,-0.140873375,144,19,2,20.460226127832165,0.933105011367098,19.031121190073275,2.0,0.0
82,-20_11471,51.524788971830986,-0.14032424647887323,142,19,2,20.28242552524464,1.3608153416088224,19.027566246904623,8.0,1.0
83,-16_11470,51.52116356589147,-0.11249656589147287,129,19,0,17.527153265035533,0.3380840957584144,18.96348708487207,9.0,0.0
84,9_11478,51.55657633816425,0.06833203381642512,207,19,1,17.390100205354692,1.07137346619049,18.959782760924305,2.0,0.0
85,-11_11470,51.52064514782609,-0.07657560869565218,115,19,0,16.362812062942044,0.530463207629131,18.93009342400756,5.0,0.0
86,-21_11455,51.45317795798319,-0.14705901680672268,119,19,1,14.471799783457636,0.5746174779127262,18.86475031181876,3.0,0.0
87,-16_11465,51.498293924731186,-0.11225663440860215,93,19,0,12.8942619816907,0.533944859929372,18.796065472672286,4.0,0.0
88,-197_11882,53.37099663157895,-1.4784558289473686,76,19,0,11.791716698023635,0.4789599203819572,18.73754810860257,2.0,0.0
89,-15_11470,51.521001901041664,-0.10512838541666668,192,18,0,25.83536041739112,0.5761756113947105,18.132837586151226,10.0,1.0
90,-11_11476,51.54712944198895,-0.07598034806629834,181,18,2,24.421005949691327,1.5031152886480292,18.115050849637697,6.0,0.0
91,-15_11486,51.59147753896104,-0.1044512987012987,154,18,0,22.498908761437168,0.8449928023364929,18.08736384829464,10.0,0.0
92,-23_11469,51.515451039215684,-0.16283762745098038,153,18,0,19.657977477600557,0.7578106658753531,18.03674588657126,8.0,0.0
93,-17_11469,51.51657932116788,-0.11973780291970802,137,18,2,19.636774352071118,1.5572436411622652,18.036314260536965,5.0,1.0
94,-297_11905,53.4740121875,-2.2385687142857145,112,18,2,18.07906234543386,1.097131968158624,18.00190161644792,2.0,0.0
95,0_11475,51.542255507142855,0.0030497285714285714,140,18,0,17.856650090471067,0.5241339846413579,17.99651023259263,8.0,1.0
96,-27_11466,51.501752487603305,-0.1919085123966942,121,18,0,17.005618752062873,0.7660061080073204,17.97461186736706,6.0,0.0
97,-16_11463,51.488557115789476,-0.1116238947368421,95,18,1,13.131709492495098,0.3406054455918261,17.84024050669194,4.0,1.0
98,-18_11463,51.48873988888889,-0.12714352525252526,99,18,1,12.986779009214612,0.4400296684366095,17.8337093491072,6.0,0.0
99,-8_11469,51.51478373770492,-0.05454177868852459,122,18,0,12.644070869534687,0.33593079291968614,17.81769018372695,3.0,2.0
100,-11_11471,51.52438050595238,-0.07704246428571429,168,17,0,22.936431522562515,1.0280750830067622,17.113121860591257,12.0,0.0
