rank,segment_id,location,road_id,km_from,km_to,lat,lon,blackspot_score,n_crashes,n_ksi,n_fatal,ksi_rate,crashes_per_year,speed_max,pct_night,pct_junction,future_ksi,future_fatal
41370,A4063_run0_km8.0,A4063 km 8.0-8.5,A4063,8.0,8.5,51.581057,-3.632178,0.1143079754446349,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41371,A695_run0_km17.0,A695 km 17.0-17.5,A695,17.0,17.5,54.963051,-1.867837,0.11428829896063797,1,0,0,0.0,0.3333333333333333,40.0,0.0,0.0,0.0,0.0
41372,A85_run0_km58.5,A85 km 58.5-59.0,A85,58.5,59.0,56.405846,-4.306037,0.11428450537127607,1,1,0,1.0,0.3333333333333333,50.0,0.0,0.0,0.0,0.0
41373,A761_run0_km6.5,A761 km 6.5-7.0,A761,6.5,7.0,55.881059,-4.619448,0.11428133505648798,1,1,0,1.0,0.3333333333333333,60.0,0.0,1.0,0.0,0.0
41374,A591_run0_km55.5,A591 km 55.5-56.0,A591,55.5,56.0,54.366492,-2.801108,0.1142771098060126,1,0,0,0.0,0.3333333333333333,50.0,0.0,0.0,1.0,0.0
41375,A64_run3_km0.0,A64 km 0.0-0.5 (seg 3),A64,0.0,0.5,54.291208,-1.998173,0.11426568522172115,1,0,0,0.0,0.3333333333333333,60.0,0.0,1.0,0.0,0.0
41376,A420_run2_km22.0,A420 km 22.0-22.5 (seg 2),A420,22.0,22.5,51.452463,-2.425154,0.1142630623159004,1,0,0,0.0,0.3333333333333333,30.0,0.0,1.0,0.0,0.0
41377,A70_run0_km19.5,A70 km 19.5-20.0,A70,19.5,20.0,55.840279,-3.450864,0.11425537603718919,1,1,0,1.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41378,A483_run0_km61.0,A483 km 61.0-61.5,A483,61.0,61.5,52.349951,-3.311722,0.11425528073437127,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41379,A56_run2_km24.5,A56 km 24.5-25.0 (seg 2),A56,24.5,25.0,53.37686,-2.539281,0.11424625947890131,1,0,0,0.0,0.3333333333333333,30.0,0.0,1.0,0.0,0.0
41380,A90_run0_km30.5,A90 km 30.5-31.0,A90,30.5,31.0,57.469167,-1.788129,0.11424149928231807,1,0,0,0.0,0.3333333333333333,40.0,0.0,1.0,0.0,0.0
41381,A1065_run1_km15.5,A1065 km 15.5-16.0 (seg 1),A1065,15.5,16.0,52.744058499999994,0.738175,0.11424088847936999,2,2,0,1.0,0.6666666666666666,50.0,0.0,0.5,0.0,0.0
41382,A37_run0_km73.0,A37 km 73.0-73.5,A37,73.0,73.5,50.851987,-2.584726,0.1142271450838368,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41383,A458_run0_km109.0,A458 km 109.0-109.5,A458,109.0,109.5,52.692358,-3.4831,0.11421906015274863,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41384,M6_run0_km265.0,M6 km 265.0-265.5,M6,265.0,265.5,52.933178,-2.212853,0.1142160211757962,1,0,0,0.0,0.3333333333333333,70.0,1.0,0.0,0.0,0.0
41385,A189_run0_km16.0,A189 km 16.0-16.5,A189,16.0,16.5,55.07589,-1.571069,0.11419984385589087,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41386,M4_run3_km60.5,M4 km 60.5-61.0 (seg 3),M4,60.5,61.0,51.511036,-3.424951,0.1141847899049766,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41387,M65_run0_km5.5,M65 km 5.5-6.0,M65,5.5,6.0,53.715771,-2.55444,0.11416899090148928,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41388,A14_run1_km11.5,A14 km 11.5-12.0 (seg 1),A14,11.5,12.0,52.025323,1.236021,0.1141633564433708,1,1,0,1.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41389,A49_run0_km54.0,A49 km 54.0-54.5,A49,54.0,54.5,53.156088,-2.675751,0.11414794872236364,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41390,A30_run1_km141.5,A30 km 141.5-142.0 (seg 1),A30,141.5,142.0,51.099754,-1.728078,0.11413725775350504,1,0,0,0.0,0.3333333333333333,60.0,0.0,1.0,0.0,0.0
41391,A1065_run1_km10.0,A1065 km 10.0-10.5 (seg 1),A1065,10.0,10.5,52.701191,0.70194,0.1141339276842855,1,0,0,0.0,0.3333333333333333,60.0,1.0,0.0,0.0,0.0
41392,A303_run0_km87.5,A303 km 87.5-88.0,A303,87.5,88.0,51.027634,-2.587622,0.11412095396242192,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41393,A37_run0_km86.0,A37 km 86.0-86.5,A37,86.0,86.5,50.746033,-2.512548,0.11411396357218044,1,0,0,0.0,0.3333333333333333,30.0,1.0,0.0,0.0,0.0
41394,A14_run0_km13.5,A14 km 13.5-14.0,A14,13.5,14.0,52.404856,-0.971684,0.1141039800375195,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41395,M54_run0_km30.5,M54 km 30.5-31.0,M54,30.5,31.0,52.688486,-2.479745,0.1141018182833973,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41396,A1101_run0_km20.5,A1101 km 20.5-21.0,A1101,20.5,21.0,52.551651,0.229437,0.11410141378218508,1,1,0,1.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41397,A1_run4_km83.0,A1 km 83.0-83.5 (seg 4),A1,83.0,83.5,55.539546,-1.7807,0.11409993747711862,1,0,0,0.0,0.3333333333333333,60.0,0.0,1.0,0.0,0.0
41398,A38_run7_km0.0,A38 km 0.0-0.5 (seg 7),A38,0.0,0.5,50.4336445,-3.8011939999999997,0.11408693664387713,2,0,0,0.0,0.6666666666666666,70.0,0.0,0.0,0.0,0.0
41399,A4067_run0_km7.5,A4067 km 7.5-8.0,A4067,7.5,8.0,51.691974,-3.881757,0.11407771332330686,1,0,0,0.0,0.3333333333333333,60.0,1.0,0.0,0.0,0.0
41400,A390_run2_km11.5,A390 km 11.5-12.0 (seg 2),A390,11.5,12.0,50.492514,-4.319414,0.11406340796544753,1,0,0,0.0,0.3333333333333333,60.0,1.0,0.0,0.0,0.0
41401,A361_run2_km48.0,A361 km 48.0-48.5 (seg 2),A361,48.0,48.5,51.056555333333336,-3.965999333333334,0.11405905701089696,3,0,0,0.0,1.0,60.0,0.0,0.0,0.0,0.0
41402,A363_run0_km1.0,A363 km 1.0-1.5,A363,1.0,1.5,51.391484,-2.306217,0.11404999959519094,1,0,0,0.0,0.3333333333333333,50.0,0.0,0.0,0.0,0.0
41403,A487_run1_km56.5,A487 km 56.5-57.0 (seg 1),A487,56.5,57.0,52.015909,-4.819357,0.11404721344290752,1,0,0,0.0,0.3333333333333333,60.0,0.0,1.0,0.0,0.0
41404,A37_run0_km85.5,A37 km 85.5-86.0,A37,85.5,86.0,50.750538,-2.514681,0.11404018655285743,1,0,0,0.0,0.3333333333333333,60.0,0.0,1.0,0.0,0.0
41405,B3157_run0_km8.0,B3157 km 8.0-8.5,B3157,8.0,8.5,50.651984,-2.538838,0.11403992239324857,1,1,0,1.0,0.3333333333333333,50.0,0.0,1.0,0.0,0.0
41406,A30_run0_km99.0,A30 km 99.0-99.5,A30,99.0,99.5,50.7148725,-4.0478725,0.11403654687555038,2,1,0,0.5,0.6666666666666666,70.0,0.0,0.0,0.0,0.0
41407,A96_run0_km129.0,A96 km 129.0-129.5,A96,129.0,129.5,57.300101,-2.427721,0.11401029526163718,1,1,0,1.0,0.3333333333333333,60.0,1.0,1.0,0.0,0.0
41408,A38_run3_km13.0,A38 km 13.0-13.5 (seg 3),A38,13.0,13.5,50.457718,-4.552054,0.11400307907385991,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41409,A596_run0_km8.5,A596 km 8.5-9.0,A596,8.5,9.0,54.684844,-3.525352,0.11399752834871017,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,1.0,1.0
41410,M6_run0_km301.0,M6 km 301.0-301.5,M6,301.0,301.5,52.643903,-2.05648,0.1139725063987989,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41411,A388_run0_km39.5,A388 km 39.5-40.0,A388,39.5,40.0,50.67674,-4.324309,0.1139709399118049,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41412,A165_run1_km51.5,A165 km 51.5-52.0 (seg 1),A165,51.5,52.0,53.933327,-0.28938,0.11396476150528223,1,1,0,1.0,0.3333333333333333,60.0,0.0,0.0,1.0,0.0
41413,A299_run0_km6.0,A299 km 6.0-6.5,A299,6.0,6.5,51.332616,0.999844,0.11396112564728396,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,1.0,1.0
41414,A489_run0_km15.5,A489 km 15.5-16.0,A489,15.5,16.0,52.511363,-3.291974,0.1139578136195863,1,0,0,0.0,0.3333333333333333,40.0,1.0,1.0,0.0,0.0
41415,A39_run0_km31.0,A39 km 31.0-31.5,A39,31.0,31.5,50.59586,-4.717029,0.11395611827187456,2,0,0,0.0,0.6666666666666666,60.0,0.0,1.0,0.0,0.0
41416,A1_run4_km123.5,A1 km 123.5-124.0 (seg 4),A1,123.5,124.0,55.840573,-2.075765,0.11394211389011183,1,0,0,0.0,0.3333333333333333,60.0,0.0,1.0,0.0,0.0
41417,A34_run1_km10.5,A34 km 10.5-11.0 (seg 1),A34,10.5,11.0,51.492752,-1.295133,0.11393843879533762,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41418,A1_run4_km27.5,A1 km 27.5-28.0 (seg 4),A1,27.5,28.0,55.083864,-1.648197,0.11392823068844057,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41419,A595_run1_km3.0,A595 km 3.0-3.5 (seg 1),A595,3.0,3.5,54.503234,-3.544154,0.11390616174809787,1,0,0,0.0,0.3333333333333333,40.0,0.0,0.0,1.0,0.0
41420,A594_run1_km3.5,A594 km 3.5-4.0 (seg 1),A594,3.5,4.0,54.695794,-3.434541,0.11390510057327659,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41421,A449_run2_km2.5,A449 km 2.5-3.0 (seg 2),A449,2.5,3.0,51.620442,-2.907282,0.11390437746639322,1,0,0,0.0,0.3333333333333333,70.0,1.0,0.0,0.0,0.0
41422,A38_run7_km2.5,A38 km 2.5-3.0 (seg 7),A38,2.5,3.0,50.45295,-3.790735,0.11390356031222973,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41423,A130_run0_km7.0,A130 km 7.0-7.5,A130,7.0,7.5,51.643689,0.545417,0.11387680875523432,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41424,A48_run0_km92.5,A48 km 92.5-93.0,A48,92.5,93.0,51.46607,-3.269722,0.11386964076761295,1,0,0,0.0,0.3333333333333333,40.0,0.0,0.0,1.0,0.0
41425,B6265_run0_km68.5,B6265 km 68.5-69.0,B6265,68.5,69.0,54.002464,-1.303693,0.1138575131361516,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41426,A12_run1_km45.0,A12 km 45.0-45.5 (seg 1),A12,45.0,45.5,51.78987,0.645888,0.11385337145331158,1,0,0,0.0,0.3333333333333333,70.0,1.0,0.0,0.0,0.0
41427,A488_run0_km0.0,A488 km 0.0-0.5,A488,0.0,0.5,52.267931,-3.296565,0.11384672627847399,1,1,0,1.0,0.3333333333333333,30.0,0.0,0.0,0.0,0.0
41428,B4465_run0_km3.0,B4465 km 3.0-3.5,B4465,3.0,3.5,51.509548,-2.397888,0.11382988815141082,1,0,0,0.0,0.3333333333333333,60.0,1.0,0.0,0.0,0.0
41429,M4_run3_km78.5,M4 km 78.5-79.0 (seg 3),M4,78.5,79.0,51.5459935,-3.1936954999999996,0.11381892554182761,2,2,0,1.0,0.6666666666666666,70.0,0.0,0.0,0.0,0.0
41430,A367_run0_km15.5,A367 km 15.5-16.0,A367,15.5,16.0,51.314473,-2.430577,0.11380178370631057,1,0,0,0.0,0.3333333333333333,30.0,0.0,0.0,0.0,0.0
41431,A1077_run0_km19.0,A1077 km 19.0-19.5,A1077,19.0,19.5,53.676601,-0.490269,0.113796204004693,1,1,1,1.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41432,A75_run0_km21.5,A75 km 21.5-22.0,A75,21.5,22.0,54.903637,-4.704004,0.1137887028019592,1,1,0,1.0,0.3333333333333333,70.0,0.0,0.0,1.0,0.0
41433,A39_run0_km67.0,A39 km 67.0-67.5,A39,67.0,67.5,50.862042,-4.496988,0.11378474236870814,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41434,A470_run0_km81.0,A470 km 81.0-81.5,A470,81.0,81.5,52.73941,-3.783566,0.11374635837387866,1,1,0,1.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41435,A596_run0_km9.0,A596 km 9.0-9.5,A596,9.0,9.5,54.688679,-3.521292,0.11373555929921939,1,0,0,0.0,0.3333333333333333,30.0,0.0,0.0,0.0,0.0
41436,M4_run3_km51.5,M4 km 51.5-52.0 (seg 3),M4,51.5,52.0,51.532288,-3.5417275,0.11372846369189976,2,1,0,0.5,0.6666666666666666,70.0,0.0,0.0,0.0,0.0
41437,A47_run2_km10.0,A47 km 10.0-10.5 (seg 2),A47,10.0,10.5,52.620464,1.692616,0.11372092683507223,1,0,0,0.0,0.3333333333333333,60.0,0.0,1.0,0.0,0.0
41438,A465_run0_km9.0,A465 km 9.0-9.5,A465,9.0,9.5,51.690659,-3.742068,0.11371508323994842,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41439,M5_run0_km188.0,M5 km 188.0-188.5,M5,188.0,188.5,51.933341,-2.134571,0.11370690005855269,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
