category,level,n,mean_shap,std_shap,mean_abs_shap,label,low_sample
urban_or_rural_area,1.0,28497,-0.03064904086293778,0.014661667273112916,0.030655544211709376,Urban,False
first_road_class,2.0,120,0.01965947660062074,0.018215882444180674,0.021856623858226034,A(M),True
first_road_class,3.0,18528,0.007843988481399135,0.01275079362965883,0.01077863992259548,A road,False
first_road_class,1.0,1257,-0.0005440875735667756,0.02591381962947159,0.01931354111904465,Motorway,False
first_road_class,4.0,5307,-0.0035924292562165604,0.008802917841392385,0.006852005837208968,B road,False
first_road_class,6.0,15025,-0.0067670693336738166,0.013433426571589002,0.011432173959984152,Unclassified,False
first_road_class,5.0,1816,-0.010982675159924776,0.009515038481848094,0.011834030123899148,C road,False
junction_detail,16.0,3904,0.015159469360229839,0.010958071426887235,0.015776167213255077,16,False
junction_detail,17.0,652,0.01106293179313541,0.01301704389085767,0.013807191655530732,17,False
junction_detail,18.0,866,0.009541500296566162,0.014353063320941613,0.013612296223926844,18,False
junction_detail,13.0,11724,0.007731765535574167,0.006655485708814297,0.008298664127386023,13,False
junction_detail,0.0,21654,-0.0019851806640583643,0.005462167846851305,0.004278540422361387,Not at junction,False
junction_detail,-1.0,827,-0.023235632469677307,0.01127154814075742,0.02371675103746883,-1,False
junction_detail,19.0,2426,-0.030739505940170806,0.038042820730119255,0.03551498657615324,19,False
junction_control,-1.0,17689,0.005661664100770013,0.008317124603409776,0.0072495887145258755,-1,False
junction_control,2.0,4830,0.005208909769547447,0.011262045259539982,0.009548925042876489,Auto signal,False
junction_control,3.0,307,0.0017965794986396354,0.009567017864334745,0.007131922941497488,Stop sign,False
junction_control,4.0,18278,-0.0016844422780514174,0.009348929724969835,0.006315707949086574,Give way/uncontrolled,False
junction_control,1.0,193,-0.01555665098602925,0.012766529231828017,0.01670842983055428,Authorised person,True
junction_control,9.0,756,-0.23032569478039439,0.062073993118425735,0.23037802719983505,9,False
day_of_week,7.0,5897,0.04964304806658896,0.027282823481074095,0.05022823367011309,Sat,False
day_of_week,1.0,4782,0.04037201310228971,0.035354984600869346,0.0449671200541622,Sun,False
day_of_week,6.0,6893,0.0030731540117219344,0.018098113513822685,0.013868717511918099,Fri,False
day_of_week,5.0,6432,-0.013736381111440637,0.01328012846984347,0.016238477098917712,Thu,False
day_of_week,2.0,5660,-0.014491926968702213,0.017798336776003353,0.018521794554060302,Mon,False
day_of_week,4.0,6261,-0.024494091170668624,0.012408067525027629,0.024739693364042165,Wed,False
day_of_week,3.0,6128,-0.027884223206836985,0.014917046254015803,0.028264754534373156,Tue,False
speed_limit,50.0,1824,0.1842036504519555,0.060255938640925225,0.1842036504519555,50.0,False
speed_limit,60.0,5011,0.1832953917251306,0.06347883601304907,0.18329539172513057,60.0,False
speed_limit,70.0,2341,0.18257680458444464,0.06364992906328981,0.18259720772586532,70.0,False
speed_limit,40.0,3664,0.1067077739592891,0.052656398995403274,0.10696656331524644,40.0,False
speed_limit,30.0,22476,-0.06263882223658647,0.022779543337987925,0.06267263841746722,30.0,False
speed_limit,20.0,6737,-0.0791972756178809,0.033816199470890485,0.07937751219155319,20.0,False
police_force,14.0,852,0.17426738146110596,0.04781778205614517,0.17426738146110593,14,False
police_force,21.0,266,0.11742603373999756,0.03605108836656854,0.11746048708092531,21,False
police_force,11.0,237,0.10821916247196528,0.10062571689640425,0.1256214790798221,11,False
police_force,48.0,68,0.10658943006714021,0.038207866936575886,0.10658943006714021,48,True
police_force,99.0,1640,0.09251184149412547,0.04510892375402058,0.09282880166461337,99,False
police_force,13.0,1722,0.08597350320960527,0.03080176632444871,0.08603340242890743,13,False
police_force,61.0,221,0.08092511507637114,0.07160874922464402,0.09507139382775563,61,False
police_force,42.0,1225,0.07848646809493487,0.03183537129606343,0.07870541766201881,42,False
police_force,53.0,402,0.06940896599129039,0.057098140032671836,0.07515855979353342,53,False
police_force,47.0,1474,0.059135381707637096,0.04027319783504044,0.06068573633922751,47,False
police_force,36.0,556,0.054638461220009184,0.02181583133734474,0.0547579625455252,36,False
police_force,37.0,433,0.05135549216762005,0.019263928774617627,0.051499603487790986,37,False
police_force,31.0,807,0.04568486629048267,0.029302798635642766,0.04751002262837774,31,False
police_force,63.0,410,0.04367977288143161,0.058408158678240535,0.06053314595618241,63,False
police_force,35.0,588,0.04216816199389296,0.02446466539603471,0.04328254116786396,35,False
police_force,41.0,704,0.03955322556247104,0.021597223753472224,0.04046582438628141,41,False
police_force,60.0,295,0.039527862174369655,0.04065114150744164,0.04650531798149649,60,False
police_force,40.0,548,0.03799438607095591,0.020394299285790004,0.0389443585455457,40,False
police_force,22.0,613,0.0357134327280116,0.028486019479531933,0.03873345253100225,22,False
police_force,4.0,1088,0.029442175160028863,0.034904704534656494,0.03684565772156616,4,False
police_force,45.0,1071,0.025377723661127137,0.028494932546041,0.029636397233227477,45,False
police_force,20.0,1978,0.019255900132318,0.02391022481510136,0.023985755227065482,20,False
police_force,44.0,1369,0.01680849854968511,0.02386152245551161,0.02299247949494525,44,False
police_force,33.0,476,0.01636082300166579,0.018816653134520103,0.020243259390299174,33,False
police_force,34.0,511,0.012918467234809498,0.02263666895205493,0.02070354494519295,34,False
police_force,16.0,786,0.011480498752347678,0.030302973313781918,0.024755796398321643,16,False
police_force,43.0,1286,0.00917915306539287,0.03235903613914219,0.02694529522574813,43,False
police_force,17.0,226,0.005179090362248394,0.028752275837924925,0.023263081246248405,17,False
